Match ID,Competing Athlete,Competing Athlete ID,Opponent,Event,Method,Result,Weight,Stage,Year
7672,Aaron Johnson,9246,Quentin Rosensweig,Kakuto 5,Inside heel hook,L,ABS,SPF,2015
8190,Aaron Johnson,9246,Neiman Gracie,NoGi Pan Ams,RNC,L,94KG,SF,2015
8785,Aaron Johnson,9246,Richie MartinezRichie Martinez,Kakuto Challenge,Heel hook,L,ABS,SF,2015
9059,Aaron Johnson,9246,Leo NogueiraLeo Nogueira,Atlanta W. Open,Points,L,94KG,SF,2016
9110,Aaron Johnson,9246,Romulo AzevedoRomulo Azevedo,UAEJJF NYC Pro,N/A,L,94KG,SF,2016
9116,Aaron Johnson,9246,Abraham MarteAbraham Marte,UAEJJF NYC Pro,Cross choke,L,HWABS,4F,2016
9373,Aaron Johnson,9246,Andre GalvaoAndre Galvao,Pan American,Choke,L,ABS,R2,2016
9500,Aaron Johnson,9246,Joao Soares,Boston Spring O.,Triangle,L,100KG,F,2016
10087,Aaron Johnson,9246,Bernardo FariaBernardo Faria,World Champ.,Triangle armbar,L,ABS,R2,2016
10120,Aaron Johnson,9246,Joao RochaJoao Rocha,BJJ Tour - CT,Choke from back,L,ABS,SF,2016
10274,Aaron Johnson,9246,Marcos TinocoMarcos Tinoco,NY Summer Open,Points,L,ABS,4F,2016
10489,Aaron Johnson,9246,Mike Hillebrand,EBI 8,Inside heel hook,L,84KG,R1,2016
10684,Aaron Johnson,9246,Dillon DanisDillon Danis,NoGi Pan Ams,Arm in guillotine,L,ABS,SF,2016
10944,Aaron Johnson,9246,Yuri SimoesYuri Simoes,NoGi Worlds,Pts: 19x0,L,O97KG,SF,2016
11671,Aaron Johnson,9246,Leo NogueiraLeo Nogueira,UAEJJF Orlando,Points,L,110KG,F,2017
11687,Aaron Johnson,9246,Helton JoseHelton Jose,Atlanta W. Open,Pts: 10x0,L,ABS,SF,2017
11947,Aaron Johnson,9246,Jonathan SatavaJonathan Satava,UAEJJF NY Pro,Points,L,U110KG,4F,2017
12001,Aaron Johnson,9246,Keenan CorneliusKeenan Cornelius,LA National Pro,Points,L,U110KG,F,2017
12224,Aaron Johnson,9246,Tanner RiceTanner Rice,Pan American,Pts: 4x2,L,94KG,8F,2017
12416,Aaron Johnson,9246,Gianni GrippoGianni Grippo,NY Spring No-Gi,Points,L,ABS,F,2017
13021,Aaron Johnson,9246,Joao RochaJoao Rocha,World Champ.,Botinha,L,ABS,R1,2017
13190,Aaron Johnson,9246,Leandro LoLeandro Lo,World Champ.,Brabo choke,L,94KG,8F,2017
13426,Aaron Johnson,9246,Mahamed AlyMahamed Aly,NY S. No-Gi Open,Calf slicer,L,O97KG,F,2017
13434,Aaron Johnson,9246,DJ JacksonDJ Jackson,NY S. No-Gi Open,Points,L,ABS,SF,2017
13647,Aaron Johnson,9246,Gordon RyanGordon Ryan,Grappling Ind.,Reverse triangle,L,ABS,SF,2017
14552,Aaron Johnson,9246,Craig JonesCraig Jones,EBI 14,Inside heel hook,L,ABS,SF,2017
14715,Aaron Johnson,9246,Joao AssisJoao Assis,NoGi Worlds,Pts: 2x0,L,97KG,SF,2017
14727,Aaron Johnson,9246,Keenan CorneliusKeenan Cornelius,NoGi Worlds,RNC,L,ABS,R1,2017
